Time_ns,Sine_Out,Sine_Out_Normalized
8325000,31113,0.949493
8335000,31685,0.966949
8345000,32137,0.980743
8355000,32469,0.990875
8365000,32678,0.997253
8375000,32765,0.999908
8385000,32678,0.997253
8395000,32469,0.990875
8405000,32137,0.980743
8415000,31685,0.966949
8425000,31113,0.949493
8435000,30424,0.928467
8445000,29621,0.903961
8455000,28706,0.876038
8465000,27466,0.838196
8475000,26319,0.803192
8485000,25072,0.765137
8495000,23731,0.724213
8505000,22301,0.680573
8515000,20787,0.634369
8525000,19195,0.585785
8535000,17530,0.534973
8545000,15446,0.471375
8555000,13645,0.416412
8565000,11793,0.359894
8575000,9896,0.302002
8585000,7962,0.242981
8595000,5998,0.183044
8605000,4011,0.122406
8615000,2009,0.061310
8625000,0,0.000000
8635000,-2009,-0.061310
8645000,-4011,-0.122406
8655000,-5998,-0.183044
8665000,-7962,-0.242981
8675000,-9896,-0.302002
8685000,-11793,-0.359894
8695000,-13645,-0.416412
8705000,-15446,-0.471375
8715000,-17530,-0.534973
8725000,-19195,-0.585785
8735000,-20787,-0.634369
8745000,-22301,-0.680573
8755000,-23731,-0.724213
8765000,-25072,-0.765137
8775000,-26319,-0.803192
8785000,-27466,-0.838196
8795000,-28706,-0.876038
8805000,-29621,-0.903961
8815000,-30424,-0.928467
8825000,-31113,-0.949493
8835000,-31685,-0.966949
8845000,-32137,-0.980743
8855000,-32469,-0.990875
8865000,-32678,-0.997253
8875000,-32765,-0.999908
8885000,-32678,-0.997253
8895000,-32469,-0.990875
8905000,-32137,-0.980743
8915000,-31685,-0.966949
8925000,-31113,-0.949493
8935000,-30424,-0.928467
8945000,-29621,-0.903961
8955000,-28706,-0.876038
8965000,-27466,-0.838196
8975000,-26319,-0.803192
8985000,-25072,-0.765137
8995000,-23731,-0.724213
9005000,-22301,-0.680573
9015000,-20787,-0.634369
9025000,-19195,-0.585785
9035000,-17530,-0.534973
9045000,-15446,-0.471375
9055000,-13645,-0.416412
9065000,-11793,-0.359894
9075000,-9896,-0.302002
9085000,-7962,-0.242981
9095000,-5998,-0.183044
9105000,-4011,-0.122406
9115000,-2009,-0.061310
9125000,0,0.000000
9135000,2009,0.061310
9145000,4011,0.122406
9155000,5998,0.183044
9165000,7962,0.242981
9175000,9896,0.302002
9185000,11793,0.359894
9195000,13645,0.416412
9205000,15446,0.471375
9215000,17530,0.534973
9225000,19195,0.585785
9235000,20787,0.634369
9245000,22301,0.680573
9255000,23731,0.724213
9265000,25072,0.765137
9275000,26319,0.803192
9285000,27466,0.838196
9295000,28706,0.876038
9305000,29621,0.903961
9315000,30424,0.928467
9325000,31113,0.949493
9335000,31685,0.966949
9345000,32137,0.980743
9355000,32469,0.990875
9365000,32678,0.997253
9375000,32765,0.999908
9385000,32678,0.997253
9395000,32469,0.990875
9405000,32137,0.980743
9415000,31685,0.966949
9425000,31113,0.949493
9435000,30424,0.928467
9445000,29621,0.903961
9455000,28706,0.876038
9465000,27466,0.838196
9475000,26319,0.803192
9485000,25072,0.765137
9495000,23731,0.724213
9505000,22301,0.680573
9515000,20787,0.634369
9525000,19195,0.585785
9535000,17530,0.534973
9545000,15446,0.471375
9555000,13645,0.416412
9565000,11793,0.359894
9575000,9896,0.302002
9585000,7962,0.242981
9595000,5998,0.183044
9605000,4011,0.122406
9615000,2009,0.061310
9625000,0,0.000000
9635000,-2009,-0.061310
9645000,-4011,-0.122406
9655000,-5998,-0.183044
9665000,-7962,-0.242981
9675000,-9896,-0.302002
9685000,-11793,-0.359894
9695000,-13645,-0.416412
9705000,-15446,-0.471375
9715000,-17530,-0.534973
9725000,-19195,-0.585785
9735000,-20787,-0.634369
9745000,-22301,-0.680573
9755000,-23731,-0.724213
9765000,-25072,-0.765137
9775000,-26319,-0.803192
9785000,-27466,-0.838196
9795000,-28706,-0.876038
9805000,-29621,-0.903961
9815000,-30424,-0.928467
9825000,-31113,-0.949493
9835000,-31685,-0.966949
9845000,-32137,-0.980743
9855000,-32469,-0.990875
9865000,-32678,-0.997253
9875000,-32765,-0.999908
9885000,-32678,-0.997253
9895000,-32469,-0.990875
9905000,-32137,-0.980743
9915000,-31685,-0.966949
9925000,-31113,-0.949493
9935000,-30424,-0.928467
9945000,-29621,-0.903961
9955000,-28706,-0.876038
9965000,-27466,-0.838196
9975000,-26319,-0.803192
9985000,-25072,-0.765137
9995000,-23731,-0.724213
10005000,-22301,-0.680573
10015000,-20787,-0.634369
10025000,-19195,-0.585785
10035000,-17530,-0.534973
10045000,-15446,-0.471375
10055000,-13645,-0.416412
10065000,-11793,-0.359894
10075000,-9896,-0.302002
10085000,-7962,-0.242981
10095000,-5998,-0.183044
10105000,-4011,-0.122406
10115000,-2009,-0.061310
10125000,0,0.000000
10135000,9896,0.302002
10145000,19195,0.585785
10155000,26319,0.803192
10165000,31113,0.949493
10175000,32765,0.999908
10185000,31113,0.949493
10195000,26319,0.803192
10205000,19195,0.585785
10215000,9896,0.302002
